ID,LOG initial,Initial conc
3676,-0.61195935,0.244365927
3693,-2.731483679,0.001855737
3694,-2.76642717,0.001712272
3716,0.707272752,5.096508486
3717,0.947457186,8.860478701
3718,0.846835176,7.02805539
3721,-0.094261099,0.804894391
3722,-0.570875466,0.268611458
3726,0.951396193,8.941207892
3727,1.064484837,11.60071713
3743,1.204993355,16.03220859
3744,0.117533423,1.310790915
3745,-0.236127548,0.580593878
3774,0.813158594,6.503671448
3775,0.254295421,1.795954879
3776,0.764031688,5.808067939
3781,2.187382694,153.9510639
3782,0.686772726,4.861527271
3789,0.118180067,1.312744075
3790,1.157384729,14.36761655
3833,-0.869074421,0.135184089
3838,-0.8036508,0.157162598
3846,-0.731374042,0.185620508
3848,-1.797768243,0.015930586
3851,0.220217638,1.660418786
3852,-0.37013461,0.42644732
3853,-0.682442804,0.207757732
3854,-0.51638744,0.304517713
3857,-1.031914663,0.092914894
3858,0.299465334,1.99280743
3859,0.518409854,3.299209195
3860,0.361917512,2.301004733
3862,-0.235766484,0.581076773
3863,-0.337158761,0.460088353
3864,-0.085487019,0.821321101
3961,0.081221154,1.205649731
4102,1.379820305,23.97840576
4121,-0.375802297,0.420918199
4122,-0.194734015,0.638654513
4134,-0.251029385,0.561010016
4138,0.502950419,3.183834023
4139,0.8266504,6.708885813
4141,0.661345783,4.585068023
4146,0.717115324,5.213331292
4149,-0.958435477,0.110043532
4153,0.776362082,5.975332571
4173,0.839856575,6.916025329
4175,0.44485563,2.785195149
4176,1.042503285,11.02816575
4184,-0.477452607,0.333079108
4197,0.85626273,7.182286579
4199,0.800275745,6.313580825
4201,1.370943948,23.49329587
4202,0.952876452,8.971735297
4203,-0.127923108,0.744863841
4204,0.585361863,3.849123653
4206,0.985924957,9.681105588
4210,0.089318489,1.2283397
4211,-0.309870123,0.489925311
4212,-0.253632679,0.557657209
4213,0.511341179,3.245945164
4214,0.604739492,4.024755405
4219,-0.520283502,0.301798098
4222,-0.705597258,0.196971205
4224,0.490392108,3.093086804
4225,1.173527616,14.91171575
4232,0.169382847,1.477008
4233,-0.126513499,0.747285406
4236,-1.486094942,0.032651644
4237,-0.326112918,0.471940319
4238,-1.173196873,0.067112455
4242,-1.730190942,0.018612686
4246,-0.000538737,0.998760282
4256,-0.671720721,0.212950802
4266,0.099867614,1.258541711
4269,1.384533353,24.24004116
4270,-0.767960531,0.170623744
4271,2.108275411,128.3144041
4272,-0.319580678,0.479092445
4273,0.985051529,9.66165507
4274,0.793647331,6.217951505
4275,-0.022383579,0.949765567
4281,0.760868083,5.765912973
4282,0.785461163,6.101844876
4289,0.37755692,2.385376412
4294,0.604428835,4.021877466
4314,-0.164814972,0.684203085
4316,0.47369852,2.976449512
4325,0.704552823,5.064689476
4326,-1.308328838,0.049166712
4332,0.269053482,1.858033253
4334,-0.312384033,0.487097574
4336,0.855821279,7.174989655
4337,0.571942885,3.732010745
4347,-0.273075497,0.533242189
4349,0.981423497,9.581279224
4350,0.476631495,2.996618768
4354,0.805218767,6.3858508
4372,-0.526908789,0.297229021
4390,-3.320727653,0.000477829
4435,2.099289157,125.6866517
4438,-0.292862427,0.509492239
4439,-0.699518835,0.199747414
4440,-0.479696962,0.331362255
4441,1.13380941,13.60847344
4442,2.874390485,748.8425003
4444,0.840735323,6.930033322
4445,0.144149858,1.39363761
4446,0.252936729,1.790345007
4448,0.667068358,4.645883955
4449,0.298455207,1.988177741
4450,1.434663513,27.20592605
4451,0.1671155,1.469316988
4457,1.274239944,18.80355408
4459,-0.487409272,0.325529783
4460,0.174227767,1.493577517
4461,0.020900115,1.049301067
4465,-1.089661605,0.081346411
4466,0.074420979,1.186918718
4468,0.39985763,2.511063121
4470,0.260085595,1.820059536
4472,-0.393764381,0.403864443
4473,0.131221665,1.352762841
4482,0.142792212,1.389287769
4490,-0.442745476,0.360790027
4494,0.100837013,1.26135407
4495,-0.25749668,0.552717633
4499,-1.654823192,0.022139959
4503,-1.990880037,0.010212215
4504,-1.128100916,0.074455894
4506,-1.692735374,0.020289186
4508,-1.046384917,0.089870071
4523,2.055846245,113.7224599
4524,0.923822386,8.391167407
4525,1.297649489,19.84492625
4529,-0.194673953,0.638742844
4530,0.290991487,1.954301145
4532,0.692224915,4.922944215
4533,0.522904261,3.333529183
4537,-0.294418456,0.507670052
4539,-0.855340175,0.139527504
4541,-0.643578033,0.227207136
4552,-0.69903754,0.199968901
4554,-1.128125089,0.07445175
4560,-0.727288623,0.187374884
4562,-0.403597125,0.394823392
4568,0.033127626,1.079263839
4573,0.428077373,2.679645681
4575,-0.308641534,0.491313238
4576,-0.691316511,0.203555803
4577,0.288536082,1.943283139
4578,0.112786854,1.296542789
4595,0.627886028,4.245081453
4599,-0.771713632,0.169155595
4600,-0.601276613,0.250451356
4604,-0.786497919,0.163494099
4623,-0.33725341,0.459988093
4626,0.08872261,1.226655499
4627,0.288576497,1.943463986
4629,-3.215141803,0.000609338
4631,1.412236255,25.83665314
4632,0.76325369,5.797672643
4635,1.77301147,59.29409844
4638,-0.806726151,0.15605362
4641,0.066504913,1.165480234
4643,-1.168267057,0.06787861
4644,-1.214393297,0.061038901
4645,-0.57491379,0.266125328
4651,-0.881702819,0.131309812
4652,0.429326371,2.687363232
4653,-1.820071419,0.015133124
4659,-0.298454621,0.502973819
4660,-0.284971274,0.518834355
4661,0.163090415,1.455762122
4662,-0.175154987,0.668105448
4663,0.520055721,3.31173609
4665,0.485021493,3.055072303
4667,2.039402769,109.4971383
4668,3.539134124,3460.462313
4675,0.992060914,9.818856518
4678,1.038213097,10.91976009
4681,-0.035163645,0.922223861
4682,0.947484987,8.861045921
4698,-0.28669555,0.516778516
4715,-0.220835912,0.60140092
4718,-0.494512427,0.320248846
4719,0.040519506,1.097790595
4722,0.793231625,6.212002542
4723,1.077325522,11.94883385
4724,2.562598579,365.2570259
4727,0.471198819,2.95936695
4728,0.408371555,2.560775789
4729,0.475004542,2.985413839
4730,0.56808028,3.698965498
4731,0.885214318,7.677402647
4734,-1.917630765,0.012088411
4748,-0.930228026,0.117428084
4753,-0.156101267,0.698069613
4754,-1.02114483,0.095247848
4755,-0.761126484,0.173329912
4757,-0.534026614,0.292397319
4758,-2.596815959,0.00253037
4759,-0.508898747,0.309814153
4765,0.615049866,4.121448389
4766,2.742937049,553.2699075
4772,0.218494008,1.653841968
4773,2.120780391,132.0627665
4776,0.687847305,4.873571088
4779,-0.400421507,0.397720973
4789,-2.002004089,0.00995396
4795,1.514310014,32.68210445
4796,-0.675056173,0.211321569
4797,-1.521600988,0.030088394
4798,-1.691016977,0.020369624
4807,-0.351736965,0.444900645
4808,-0.609481375,0.245764202
4809,-0.113897187,0.769312543
4810,-0.630301327,0.234260288
4813,-0.248588999,0.564171315
4814,-1.230612786,0.058801339
4816,-1.248069293,0.056484684
4817,-0.262359087,0.546563862
4818,-0.760822471,0.173451288
4829,-1.315897724,0.048317258
4832,-0.847268402,0.142145003
4834,-4.969736066,1.07E-05
4835,-0.799706059,0.158596625
4837,1.696769873,49.74734104
4838,1.928006196,84.7239502
4839,-0.07297158,0.845334162
4841,0.96682313,9.264524417
4842,1.508802977,32.27029807
4848,1.887907542,77.25161039
4849,0.917302694,8.266138804
4851,-1.089991447,0.081284652
