"Isolate","Bio_Replicate","lag","mumax","LOG10N0","LOG10Nmax","BIC_b","BIC_g","BIC_ba"
"FSL R10-0531",1,"40.0657549863294","0.0987662966196974","2.9262315712095","8.82435210106119","-55.3191276125212","-17.7265252265656","-46.0366130315581"
"FSL R10-1099",1,"17.8579160168036","0.0691728512191588","3.00205294869169","8.5701113705","-55.3191276125212","-17.7265252265656","-46.0366130315581"
"FSL R10-1113",1,"18.7164199030159","0.0684899982737772","3.34632694439471","8.69474478875","-5.61337260054812","-16.2445507283694","-12.9785825543459"
"FSL R10-0941",1,"8.55994447199196","0.0697183473152302","3.22767498876628","8.4021691777","27.6173561597397","19.3425707906426","25.1216676948215"
"FSL R10-0054",1,"9.50140356067492","0.109825251468653","3.02442800263686","8.25725639116682","24.0110174077877","-14.3059287058789","2.33863026511997"
"FSL R10-0151",1,"8.00018748317718","0.0727998113781451","3.23894036512693","7.85654410858342","22.8005741551193","25.2366885567511","22.2020123224282"
"FSL R10-0553",1,"7.00812858526575","0.0767147803633021","2.76969064517131","8.04709639575","9.82595088271816","-38.753838236968","-3.93813744824295"
"FSL R10-0531",2,"43.3557268886208","0.0959328231922545","2.93205119040697","8.86681630231666","-28.4157416652906","-16.664487218292","-39.5750761243751"
"FSL R10-1099",2,"18.6886280114844","0.0656196021581967","3.11608606132623","8.54185197","-28.4157416652906","-16.664487218292","-39.5750761243751"
"FSL R10-1113",2,"19.4058578787176","0.0668422368240791","3.31265116835489","8.716118493875","-16.7480596805938","-38.7795297091699","-27.4340691493584"
"FSL R10-0941",2,"4.38321002106095","0.0646145302837206","3.37100689204748","8.4102260658","29.140941526203","23.0627029916819","23.7248760838142"
"FSL R10-0054",2,"14.0856806418155","0.113019690333177","3.1946329844944","8.2525358016098","7.72192240681728","-22.996439878937","1.72458227660606"
"FSL R10-0151",2,"11.9983325381239","0.0758757132609603","3.25263735355965","7.8763910837527","14.6853472142361","17.0224743497922","17.081926945492"
"FSL R10-0553",2,"7.22814441665758","0.0738828721067205","2.92575555217741","7.98842418566667","27.1603095947489","2.16164966413155","17.410458207174"
"FSL R10-0531",3,"42.3224189027665","0.08674349267722","2.87557853394987","8.9733129814127","-32.3375324758917","-30.8758858488374","-55.3831982660687"
"FSL R10-1099",3,"17.8199421361064","0.0614130206543403","3.07165285056418","8.56039919666667","-32.3375324758917","-30.8758858488374","-55.3831982660687"
"FSL R10-1113",3,"27.3951706356026","0.0644704330355764","3.45061438670363","8.626436061625","-30.0859718337413","-54.935074570329","-52.7825158824429"
"FSL R10-0941",3,"4.00005943974819","0.0621214756770642","3.38114583159762","8.41842781450118","34.6786501014158","24.0570593822524","25.2160483292793"
"FSL R10-0054",3,"16.7387484158002","0.0948655726093102","3.16922177952775","8.29080504419448","30.6531174613517","23.5814148866869","29.7773803801263"
"FSL R10-0151",3,"7.99875542842724","0.071020743573425","3.2341152252624","7.87432638749732","11.9852109126163","15.7030986670973","12.6492301670299"
"FSL R10-0553",3,"3.95731893304411","0.0676454297461222","2.80814441065871","8.0512545678","6.50168847548194","-30.7994190573824","-3.89845775153066"
